date,ticker,name,price,change,Price_change,volume,Avg_Vol_(3 month),Market_cap,PE_Ratio
4/5/2024,TSLA,"Tesla, Inc.",164.9,-6.21,-3.63%,137.801M,103.023M,525.172B,38.35
4/5/2024,AMD,"Advanced Micro Devices, Inc.",170.42,4.59,2.77%,65.744M,78.065M,275.423B,321.55
4/5/2024,INTC,Intel Corporation,38.71,-1.02,-2.57%,66.151M,46.39M,164.783B,96.77
4/5/2024,F,Ford Motor Company,13.28,0.07,0.53%,46.42M,54.328M,52.77B,12.3
4/5/2024,NIO,NIO Inc.,4.39,-0.11,-2.44%,41.253M,57.33M,9.175B,N/A
4/5/2024,NVDA,NVIDIA Corporation,880.08,21.03,2.45%,39.737M,54.113M,2.2T,73.52
4/5/2024,AMZN,"Amazon.com, Inc.",185.07,5.07,2.82%,41.959M,43.213M,1.922T,63.82
4/5/2024,PLTR,Palantir Technologies Inc.,22.96,0.48,2.14%,38.338M,71.076M,50.804B,255.11
4/5/2024,RIVN,"Rivian Automotive, Inc.",10.1,-0.03,-0.30%,36.915M,43.273M,9.872B,N/A
4/5/2024,AAPL,Apple Inc.,169.58,0.76,0.45%,41.844M,60.411M,2.619T,26.37
4/5/2024,PFE,Pfizer Inc.,26.66,0.01,0.04%,39.352M,43.079M,150.963B,72.05
4/5/2024,GOLD,Barrick Gold Corporation,17.86,0.47,2.70%,34.844M,21.522M,31.354B,24.81
4/5/2024,WBD,"Warner Bros. Discovery, Inc.",8.32,-0.12,-1.42%,34.774M,26.826M,20.298B,N/A
4/5/2024,MARA,"Marathon Digital Holdings, Inc.",18.43,-0.04,-0.22%,31.382M,78.263M,4.933B,17.39
4/5/2024,CCL,Carnival Corporation & plc,15.12,0.06,0.40%,29.7M,32.527M,19.807B,47.25
4/5/2024,PLUG,Plug Power Inc.,3.14,-0.01,-0.32%,30.218M,44.222M,2.149B,N/A
4/5/2024,ABEV,Ambev S.A.,2.41,-0.04,-1.63%,28.429M,12.144M,38.955B,13.39
4/5/2024,AAL,American Airlines Group Inc.,13.76,-0.07,-0.51%,29.973M,34.142M,9.009B,11.37
4/5/2024,PARA,Paramount Global,11.97,-0.4,-3.23%,29.166M,19.013M,8.273B,N/A
4/5/2024,SOFI,"SoFi Technologies, Inc.",7.4,0.09,1.23%,29.001M,55.419M,7.765B,N/A
4/5/2024,GRAB,Grab Holdings Limited,3.24,0.08,2.53%,27.238M,23.885M,12.711B,N/A
4/5/2024,BAC,Bank of America Corporation,37.11,0.19,0.51%,29.673M,40.532M,292.822B,12.05
4/5/2024,T,AT&T Inc.,17.42,-0.15,-0.85%,37.677M,38.718M,124.961B,8.84
4/5/2024,BCS,Barclays PLC,9.74,0.03,0.31%,24.734M,17.117M,36.746B,7.16
4/5/2024,KGC,Kinross Gold Corporation,6.4,0.12,1.91%,23.978M,13.52M,7.903B,18.82
date,ticker,name,price,%_change,Price_change,volume,Avg_Vol_(3 month),Market_cap,PE_Ratio
4/5/2024,ZGN,Ermenegildo Zegna N.V.,11.96,-1.98,-14.20%,5.02M,"658,966",2.994B,32.32
4/5/2024,RNAC,"Cartesian Therapeutics, Inc.",13.31,-1.81,-11.99%,"240,718","26,088",73.416M,N/A
4/5/2024,MSTR,MicroStrategy Incorporated,"1,439.00",-176.42,-10.92%,2.235M,2.331M,24.417B,54.43
4/5/2024,ENPH,"Enphase Energy, Inc.",112.27,-8.51,-7.05%,6.254M,4.156M,15.242B,36.45
4/5/2024,OCDDY,Ocado Group plc,9.66,-0.69,-6.67%,"71,823","39,472",3.952B,N/A
4/5/2024,USAC,"USA Compression Partners, LP",26.48,-1.4,-5.02%,"400,495","427,488",2.727B,132.4
4/5/2024,DAY,Dayforce Inc,61.04,-3.17,-4.94%,2.172M,1.405M,9.496B,174.4
4/5/2024,CABO,"Cable One, Inc.",392.01,-18.62,-4.53%,"211,888","87,788",2.203B,8.69
4/5/2024,STVN,Stevanato Group S.p.A.,28.98,-1.32,-4.36%,"493,066","349,985",7.877B,48.3
4/5/2024,BAIDF,"Baidu, Inc.",13.02,-0.58,-4.24%,"176,185","35,525",37.659B,13.71
4/5/2024,SIG,Signet Jewelers Limited,101.73,-4.31,-4.06%,"978,822","732,122",4.527B,6.78
4/5/2024,ANGPY,Anglo American Platinum Limited,6.81,-0.28,-3.95%,"74,081","53,091",10.817B,15.48
4/5/2024,PBI-PB,Pitney Bowes Inc. NT 43,17.96,-0.72,-3.85%,"32,433",N/A,3.347B,13.62
4/5/2024,CIADY,China Mengniu Dairy Company Limited,21.5,-0.84,-3.76%,"138,265","36,991",8.465B,12.72
4/5/2024,APGE,"Apogee Therapeutics, Inc.",56.81,-2.19,-3.71%,"431,896","696,338",3.315B,N/A
4/5/2024,TSLA,"Tesla, Inc.",164.9,-6.21,-3.63%,137.801M,103.023M,525.172B,38.35
4/5/2024,ZLNDY,Zalando SE,13.1,-0.48,-3.53%,"42,953","91,569",6.825B,77.06
4/5/2024,BLMN,"Bloomin' Brands, Inc.",26.91,-0.98,-3.51%,1.908M,1.306M,2.343B,10.51
4/5/2024,HOCPY,HOYA Corporation,115.8,-4.2,-3.50%,"22,105","32,809",40.589B,37.23
4/5/2024,COIN,"Coinbase Global, Inc.",240.9,-8.71,-3.49%,8.063M,14.305M,58.364B,669.17
4/5/2024,EXLS,"ExlService Holdings, Inc.",29.57,-1.02,-3.33%,2.671M,"933,051",4.902B,26.88
4/5/2024,EMBVF,"Arca Continental, S.A.B. de C.V.",10.61,-0.36,-3.32%,"27,202","7,958",18.435B,17.12
4/5/2024,CRSP,CRISPR Therapeutics AG,62.9,-2.16,-3.32%,1.679M,1.891M,5.049B,N/A
4/5/2024,PARA,Paramount Global,11.97,-0.4,-3.23%,29.166M,19.013M,8.273B,N/A
4/5/2024,ARRY,"Array Technologies, Inc.",13.8,-0.46,-3.23%,5.689M,5.851M,2.088B,24.64
4/8/2024,TSLA,"Tesla, Inc.",172.98,8.08,4.90%,103.964M,103.439M,550.905B,40.23
4/8/2024,VALE,Vale S.A.,12.5,0.7,5.93%,59.803M,27.112M,53.511B,6.83
4/8/2024,SOFI,"SoFi Technologies, Inc.",7.76,0.36,4.86%,56.561M,56.301M,8.143B,N/A
4/8/2024,INTC,Intel Corporation,37.98,-0.73,-1.89%,56.79M,46.899M,164.87B,94.95
4/8/2024,NIO,NIO Inc.,4.37,-0.02,-0.46%,46.713M,57.076M,9.133B,N/A
4/8/2024,MARA,"Marathon Digital Holdings, Inc.",17.95,-0.48,-2.60%,44.211M,77.027M,4.804B,16.93
4/8/2024,AMD,"Advanced Micro Devices, Inc.",169.9,-0.52,-0.31%,43.725M,77.776M,274.582B,320.57
4/8/2024,AMZN,"Amazon.com, Inc.",185.19,0.12,0.06%,39.134M,43.078M,1.924T,64.08
4/8/2024,PARA,Paramount Global,11.06,-0.91,-7.60%,36.761M,19.552M,8.255B,N/A
4/8/2024,AAPL,Apple Inc.,168.45,-1.13,-0.67%,37.171M,60.342M,2.601T,26.2
4/8/2024,CLSK,"CleanSpark, Inc.",15.36,-0.24,-1.54%,30.241M,36.677M,3.042B,N/A
4/8/2024,RIVN,"Rivian Automotive, Inc.",10.44,0.34,3.37%,28.449M,43.843M,10.205B,N/A
4/8/2024,AAL,American Airlines Group Inc.,13.9,0.14,1.02%,28.366M,33.58M,9.101B,11.49
4/8/2024,CMCSA,Comcast Corporation,40.71,-0.19,-0.46%,28.114M,20.847M,162.409B,10.97
4/8/2024,WBD,"Warner Bros. Discovery, Inc.",8.52,0.2,2.40%,29.081M,27.135M,20.786B,N/A
4/8/2024,GOLD,Barrick Gold Corporation,17.7,-0.16,-0.90%,27.359M,21.787M,31.074B,24.58
4/8/2024,GRAB,Grab Holdings Limited,3.3,0.06,1.85%,28.034M,24.155M,12.946B,N/A
4/8/2024,MU,"Micron Technology, Inc.",122.95,-0.63,-0.51%,27.822M,20.718M,136.151B,N/A
4/8/2024,NVDA,NVIDIA Corporation,871.33,-8.75,-0.99%,27.889M,53.142M,2.2T,72.98
4/8/2024,AIRC,Apartment Income REIT Corp.,38.38,7.03,22.42%,26.006M,1.578M,5.562B,8.99
4/8/2024,F,Ford Motor Company,13.41,0.13,0.98%,27.79M,54.215M,53.286B,12.42
4/8/2024,BAC,Bank of America Corporation,37.5,0.39,1.05%,29.316M,40.376M,295.899B,12.18
4/8/2024,RIG,Transocean Ltd.,6.55,0.02,0.31%,22.607M,18.332M,5.368B,N/A
4/8/2024,PLTR,Palantir Technologies Inc.,23,0.04,0.17%,24.915M,71.259M,50.893B,255.56
4/8/2024,CCL,Carnival Corporation & plc,15.66,0.54,3.57%,26.568M,32.725M,20.515B,48.94
4/8/2024,MMYT,MakeMyTrip Limited,67.24,-8.73,-11.49%,2.126M,"807,888",7.334B,146.17
4/8/2024,PARA,Paramount Global,11.06,-0.91,-7.60%,36.761M,19.552M,8.255B,N/A
4/8/2024,KSPI,Joint Stock Company Kaspi.kz,123.5,-9.26,-6.97%,"761,210","431,954",45.883B,N/A
4/8/2024,BHC,Bausch Health Companies Inc.,9.69,-0.72,-6.92%,6.311M,2.575M,3.541B,N/A
4/8/2024,DNUT,"Krispy Kreme, Inc.",14.32,-1.01,-6.59%,8.635M,2.555M,2.416B,N/A
4/8/2024,CF,"CF Industries Holdings, Inc.",79.79,-5.32,-6.25%,4.57M,2.55M,15.977B,10.14
4/8/2024,NWTN,NWTN Inc.,7.04,-0.46,-6.13%,"21,967","50,270",2.015B,N/A
4/8/2024,AS,"Amer Sports, Inc.",14.52,-0.82,-5.35%,2.784M,2.163M,7.751B,N/A
4/8/2024,NXE,NexGen Energy Ltd.,7.98,-0.45,-5.34%,10.313M,6.786M,4.306B,66.5
4/8/2024,CRHKY,China Resources Beer (Holdings) Company Limited,8.7,-0.46,-5.02%,"28,594","33,170",14.111B,19.77
4/8/2024,IMCR,Immunocore Holdings plc,60.5,-3,-4.72%,"250,869","480,690",3.014B,N/A
4/8/2024,EDNMY,Edenred SE,26.25,-1.25,-4.55%,"21,185","52,670",13.517B,47.73
4/8/2024,WOPEF,Woodside Energy Group Ltd,20.4,-0.95,-4.45%,"234,223","41,552",39.345B,23.45
4/8/2024,FLUT,Flutter Entertainment plc,192.65,-8.65,-4.30%,"288,074","151,195",36.441B,N/A
4/8/2024,DELL,Dell Technologies Inc.,127.15,-5.57,-4.20%,11.327M,7.595M,90.758B,29.16
4/8/2024,JBT,John Bean Technologies Corporation,94.77,-4.12,-4.17%,"386,727","206,416",3.148B,23.57
4/8/2024,ERIXF,Telefonaktiebolaget LM Ericsson (publ),5.09,-0.22,-4.14%,1.501M,"132,665",17.015B,N/A
4/8/2024,MTNOY,MTN Group Limited,5.13,-0.22,-4.11%,"88,588","46,996",9.272B,8.69
4/8/2024,APGE,"Apogee Therapeutics, Inc.",54.62,-2.19,-3.85%,"495,572","710,695",3.31B,N/A
4/8/2024,CORT,Corcept Therapeutics Incorporated,24.23,-0.97,-3.85%,"944,521",1.404M,2.508B,25.78
4/8/2024,APLS,"Apellis Pharmaceuticals, Inc.",53.81,-2.1,-3.76%,"775,154",1.416M,6.489B,N/A
4/8/2024,GME,GameStop Corp.,10.83,-0.42,-3.73%,3.494M,3.908M,3.441B,541.5
4/8/2024,BHPLF,BHP Group Limited,28.55,-1.08,-3.66%,"603,911","314,911",145.109B,19.55
4/8/2024,DKNG,DraftKings Inc.,45.51,-1.69,-3.58%,9.551M,12.36M,21.648B,N/A
4/8/2024,FTNT,"Fortinet, Inc.",68.39,-2.52,-3.55%,5.079M,6.21M,52.184B,46.84
4/8/2024,AIRC,Apartment Income REIT Corp.,38.38,7.03,22.42%,26.006M,1.578M,5.562B,8.99
4/8/2024,ALPN,"Alpine Immune Sciences, Inc.",38.53,3.62,10.37%,2.574M,1.242M,2.525B,N/A
4/8/2024,BRPHF,Galaxy Digital Holdings Ltd.,11.84,1.06,9.81%,"299,380","201,975",3.867B,N/A
4/8/2024,MP,MP Materials Corp.,16.02,1.41,9.65%,11.899M,3.64M,2.656B,114.43
4/8/2024,AGL,"agilon health, inc.",5.18,0.43,9.05%,3.577M,5.481M,2.121B,N/A
4/8/2024,IMPUY,Impala Platinum Holdings Limited,5.08,0.38,8.09%,"488,546","278,865",4.572B,N/A
4/8/2024,IBRX,"ImmunityBio, Inc.",6.17,0.46,8.06%,3.196M,4.072M,4.158B,N/A
4/8/2024,ZLNDY,Zalando SE,14.09,0.99,7.56%,"35,881","90,698",7.341B,82.88
4/8/2024,GLBE,Global-E Online Ltd.,36.38,2.55,7.54%,2.497M,1.163M,5.976B,N/A
4/8/2024,GPCR,Structure Therapeutics Inc.,44.41,2.95,7.12%,"473,161","569,955",2.069B,N/A
4/8/2024,SSL,Sasol Limited,8.74,0.58,7.11%,1.243M,"652,657",5.647B,12.67
4/8/2024,RKT,"Rocket Companies, Inc.",13.84,0.89,6.87%,2.551M,2.431M,27.504B,7.68
4/8/2024,COIN,"Coinbase Global, Inc.",256.99,16.09,6.68%,9.846M,14.194M,62.262B,713.86
4/8/2024,ALB,Albemarle Corporation,131.69,8.24,6.67%,3.534M,3.494M,15.477B,9.85
4/8/2024,AMK,"AssetMark Financial Holdings, Inc.",36.82,2.27,6.57%,"457,237","187,100",2.739B,22.32
4/8/2024,SBSW,Sibanye Stillwater Limited,5.51,0.33,6.37%,11.964M,5.804M,3.899B,5.35
4/8/2024,ANGPY,Anglo American Platinum Limited,7.22,0.41,6.02%,"149,410","55,927",11.468B,16.41
4/8/2024,IRT,"Independence Realty Trust, Inc.",16.29,0.92,5.99%,3.335M,2.273M,3.763B,N/A
4/8/2024,VALE,Vale S.A.,12.5,0.7,5.93%,59.803M,27.112M,53.511B,6.83
4/8/2024,GH,"Guardant Health, Inc.",18.66,1.03,5.84%,2.042M,1.968M,2.271B,N/A
4/8/2024,VSAT,"Viasat, Inc.",17.69,0.97,5.80%,1.017M,1.118M,2.217B,N/A
4/8/2024,TMDX,"TransMedics Group, Inc.",89.93,4.89,5.75%,1.021M,"666,218",2.942B,N/A
4/8/2024,CPT,Camden Property Trust,102.13,5.51,5.70%,1.762M,1.183M,10.904B,27.6
4/8/2024,VNO,Vornado Realty Trust,28.84,1.48,5.41%,1.151M,2.25M,5.979B,125.39
4/8/2024,WMG,Warner Music Group Corp.,35.1,1.77,5.31%,5.053M,1.509M,18.178B,39.44
2024-04-09,TSLA,"Tesla, Inc.",176.88,+3.90,+2.25%,102.622M,103.439M,563.326B,41.13
2024-04-09,NIO,NIO Inc.,4.7100,+0.3400,+7.78%,75.575M,57.076M,9.844B,N/A
2024-04-09,INTC,Intel Corporation,38.33,+0.35,+0.92%,77.808M,47.674M,163.166B,95.83
2024-04-09,NVDA,NVIDIA Corporation,853.54,-17.79,-2.04%,49.943M,53.142M,2.134T,71.49
2024-04-09,SOFI,"SoFi Technologies, Inc.",7.89,+0.13,+1.68%,43.98M,56.301M,8.279B,N/A
2024-04-09,AMD,"Advanced Micro Devices, Inc.",170.78,+0.88,+0.52%,42.852M,77.776M,276.004B,322.23
2024-04-09,PFE,Pfizer Inc.,26.78,+0.20,+0.75%,44.527M,42.992M,151.643B,72.38
2024-04-09,AAPL,Apple Inc.,169.67,+1.22,+0.72%,42.119M,60.342M,2.62T,26.39
2024-04-09,MARA,"Marathon Digital Holdings, Inc.",17.98,+0.03,+0.17%,34.031M,75.297M,4.812B,16.96
2024-04-09,VALE,Vale S.A.,12.50,0.00,0.00%,33.417M,27.112M,53.511B,6.83
2024-04-09,AMZN,"Amazon.com, Inc.",185.67,+0.48,+0.26%,36.275M,43.078M,1.929T,64.25
2024-04-09,F,Ford Motor Company,13.54,+0.13,+0.97%,33.389M,54.215M,53.803B,12.54
2024-04-09,GOLD,Barrick Gold Corporation,18.01,+0.31,+1.75%,29.254M,21.787M,31.618B,25.01
2024-04-09,GOOGL,Alphabet Inc.,156.60,+1.75,+1.13%,30.688M,31.431M,1.953T,27.05
2024-04-09,CMCSA,Comcast Corporation,40.15,-0.56,-1.38%,31.607M,20.847M,159.47B,10.82
2024-04-09,PLTR,Palantir Technologies Inc.,22.81,-0.19,-0.83%,27.517M,71.259M,50.472B,253.44
2024-04-09,T,AT&T Inc.,16.90,-0.07,-0.43%,31.52M,38.628M,121.231B,8.58
2024-04-09,BAC,Bank of America Corporation,37.73,+0.23,+0.61%,29.59M,40.376M,297.714B,12.25
2024-04-09,WBD,"Warner Bros. Discovery, Inc.",8.69,+0.17,+2.00%,26.104M,27.135M,21.201B,N/A
2024-04-09,RIVN,"Rivian Automotive, Inc.",10.63,+0.19,+1.82%,26.803M,43.843M,10.39B,N/A
2024-04-09,PLUG,Plug Power Inc.,3.2500,+0.1300,+4.17%,27.136M,44.533M,2.224B,N/A
2024-04-09,AAL,American Airlines Group Inc.,13.95,+0.05,+0.36%,27.382M,33.58M,9.134B,11.53
2024-04-09,CCL,Carnival Corporation & plc,15.50,-0.16,-1.02%,25.652M,32.725M,20.305B,48.44
2024-04-09,RIG,Transocean Ltd.,6.38,-0.17,-2.60%,25.981M,18.332M,5.229B,N/A
2024-04-09,CLSK,"CleanSpark, Inc.",15.33,-0.03,-0.20%,25.093M,36.677M,3.036B,N/A
2024-04-09,BRPHF,Galaxy Digital Holdings Ltd.,9.80,-2.03,-17.17%,"468,187","201,975",3.203B,N/A
2024-04-09,NEOG,Neogen Corporation,13.04,-1.34,-9.32%,7.691M,1.843M,2.825B,130.40
2024-04-09,FINMY,Leonardo S.p.a.,11.69,-1.17,-9.10%,"65,112","50,129",13.543B,18.85
2024-04-09,SG,"Sweetgreen, Inc.",22.86,-2.27,-9.03%,3.133M,2.342M,2.583B,N/A
2024-04-09,EFGIF,EFG International AG,11.65,-0.95,-7.54%,"61,124",4,3.555B,11.53
2024-04-09,CAVA,"CAVA Group, Inc.",60.28,-4.66,-7.18%,4.488M,2.256M,6.872B,287.05
2024-04-09,PARR,"Par Pacific Holdings, Inc.",35.66,-2.71,-7.06%,1.145M,"849,309",2.116B,2.99
2024-04-09,VST,Vistra Corp.,69.53,-4.89,-6.57%,8.349M,5.132M,24.196B,19.42
2024-04-09,RNMBY,Rheinmetall AG,113.77,-7.81,-6.42%,"72,357","20,086",25.22B,45.88
2024-04-09,IESC,"IES Holdings, Inc.",125.53,-8.44,-6.30%,"210,270","105,437",2.538B,23.82
2024-04-09,TBBB,BBB Foods Inc.,21.58,-1.41,-6.13%,1.646M,1.16M,2.421B,N/A
2024-04-09,MOD,Modine Manufacturing Company,91.46,-5.67,-5.84%,1.188M,1.045M,4.775B,21.52
2024-04-09,COIN,"Coinbase Global, Inc.",242.95,-14.04,-5.46%,7.701M,14.194M,58.861B,674.86
2024-04-09,OSCR,"Oscar Health, Inc.",13.99,-0.78,-5.28%,1.512M,3.411M,3.214B,N/A
2024-04-09,LKNCY,Luckin Coffee Inc.,24.70,-1.30,-5.00%,1.889M,2.798M,6.815B,19.92
2024-04-09,FIX,"Comfort Systems USA, Inc.",306.15,-15.98,-4.96%,"423,275","370,478",10.925B,33.94
2024-04-09,DFH,"Dream Finders Homes, Inc.",40.03,-2.06,-4.89%,"477,276","403,145",3.733B,14.35
2024-04-09,CLS,Celestica Inc.,47.05,-2.38,-4.81%,2.778M,2.306M,5.611B,23.18
2024-04-09,MSTR,MicroStrategy Incorporated,"1,441.02",-71.97,-4.76%,1.659M,2.338M,24.451B,54.44
2024-04-09,ROHCY,"ROHM Co., Ltd.",14.88,-0.73,-4.68%,"26,345","10,793",5.896B,15.83
2024-04-09,BHC,Bausch Health Companies Inc.,9.26,-0.43,-4.44%,3.88M,2.575M,3.384B,N/A
2024-04-09,YARIY,Yara International ASA,15.62,-0.72,-4.41%,"60,036","52,891",7.998B,156.20
2024-04-09,GFF,Griffon Corporation,70.00,-3.22,-4.40%,"436,798","396,921",3.461B,51.47
2024-04-09,KSPI,Joint Stock Company Kaspi.kz,118.16,-5.34,-4.32%,"689,064","431,954",43.899B,N/A
2024-04-09,BAESY,BAE Systems plc,65.57,-2.83,-4.14%,"363,175","265,575",49.589B,21.50
